questionId,questionContent,answerId,answerFile,postedBy,hashtag1,hashtag2,hashtag3,questionStatus
meta_qn_000,How to live after your relatives passed away?,['meta_ans_000'],['911Mothers_2010W.sph'],meta_ted,,,,Answered
meta_qn_001,What is it like to experience a disaster?,['meta_ans_000'],['911Mothers_2010W.sph'],meta_ted,,,,Answered
meta_qn_002,Have anyone gone through 9/11?,['meta_ans_000'],['911Mothers_2010W.sph'],meta_ted,,,,Answered
meta_qn_003,How to promote equal opportunity?,['meta_ans_001'],['YassminAbdelMagied_2014X.sph'],meta_ted,,,,Answered
meta_qn_004,How to find new ways of supporting others?,['meta_ans_001'],['YassminAbdelMagied_2014X.sph'],meta_ted,,,,Answered
meta_qn_005,Does everyone have unconscious bias?,['meta_ans_001'],['YassminAbdelMagied_2014X.sph'],meta_ted,,,,Answered
meta_qn_006,How to help women in war-torn regions rebuild their lives?,['meta_ans_002'],['ZainabSalbi_2010G.sph'],meta_ted,,,,Answered
meta_qn_007,How do people live and cope in the midst of violent conflict?,['meta_ans_002'],['ZainabSalbi_2010G.sph'],meta_ted,,,,Answered
meta_qn_008,How life continues in the midst of war?,['meta_ans_002'],['ZainabSalbi_2010G.sph'],meta_ted,,,,Answered
meta_qn_009,How to educate childre in the developing world?,['meta_ans_003'],['ZiauddinYousafzai_2014.sph'],meta_ted,,,,Answered
meta_qn_010,Why women and men deserve equal opportunities for eductaion?,['meta_ans_003'],['ZiauddinYousafzai_2014.sph'],meta_ted,,,,Answered
meta_qn_011,Why it is important for young girls to develop an independent indentity?,['meta_ans_003'],['ZiauddinYousafzai_2014.sph'],meta_ted,,,,Answered
meta_qn_012,Can you choose a different path of your life?,['meta_ans_004'],['ZakEbrahim_2014.sph'],meta_ted,,,,Answered
meta_qn_013,How to reject a path of violence?,['meta_ans_004'],['ZakEbrahim_2014.sph'],meta_ted,,,,Answered
meta_qn_014,How to find a path to peace?,['meta_ans_004'],['ZakEbrahim_2014.sph'],meta_ted,,,,Answered
meta_qn_015,What is cancer treatment via angiogenesis?,['meta_ans_005'],['WilliamLi_2010.sph'],meta_ted,,,,Answered
meta_qn_016,What is the new way to fight against cancer?,['meta_ans_005'],['WilliamLi_2010.sph'],meta_ted,,,,Answered
meta_qn_017,How the food we eat influence our health?,['meta_ans_005'],['WilliamLi_2010.sph'],meta_ted,,,,Answered
meta_qn_018,How to harness the wind?,['meta_ans_006'],['WilliamKamkwamba_2009G.sph'],meta_ted,,,,Answered
meta_qn_019,How to build windmill to power my village?,['meta_ans_006'],['WilliamKamkwamba_2009G.sph'],meta_ted,,,,Answered
meta_qn_020,How does a invention change people's life?,['meta_ans_006'],['WilliamKamkwamba_2009G.sph'],meta_ted,,,,Answered
meta_qn_021,How to talk to veterans about wars?,['meta_ans_007'],['WesMoore_2014S.sph'],meta_ted,,,,Answered
meta_qn_022,How coming home after war is no longer normal?,['meta_ans_007'],['WesMoore_2014S.sph'],meta_ted,,,,Answered
meta_qn_023,What does the veteran life look like?,['meta_ans_007'],['WesMoore_2014S.sph'],meta_ted,,,,Answered
meta_qn_024,What is visually oriented scientific world?,['meta_ans_008'],['WandaDiazMerced_2016.sph'],meta_ted,,,,Answered
meta_qn_025,How to represent complex data about the universe as sound?,['meta_ans_008'],['WandaDiazMerced_2016.sph'],meta_ted,,,,Answered
meta_qn_026,How can we hear the stars?,['meta_ans_008'],['WandaDiazMerced_2016.sph'],meta_ted,,,,Answered
meta_qn_027,What we know about autism spectrum disorder?,['meta_ans_009'],['WendyChung_2014.sph'],meta_ted,,,,Answered
meta_qn_028,What is autism spectrum disorder?,['meta_ans_009'],['WendyChung_2014.sph'],meta_ted,,,,Answered
meta_qn_029,How to cure autism spectrum disorder?,['meta_ans_009'],['WendyChung_2014.sph'],meta_ted,,,,Answered
meta_qn_030,Can green design prevent environmental disaster?,['meta_ans_010'],['WilliamMcDonough_2005.sph'],meta_ted,,,,Answered
meta_qn_031,What is cradle to cradle design?,['meta_ans_010'],['WilliamMcDonough_2005.sph'],meta_ted,,,,Answered
meta_qn_032,What is green design?,['meta_ans_010'],['WilliamMcDonough_2005.sph'],meta_ted,,,,Answered
meta_qn_033,What is directional speakers?,['meta_ans_011'],['WoodyNorris_2004.sph'],meta_ted,,,,Answered
meta_qn_034,Who invented directional speakers?,['meta_ans_011'],['WoodyNorris_2004.sph'],meta_ted,,,,Answered
meta_qn_035,How to use sound in new way?,['meta_ans_011'],['WoodyNorris_2004.sph'],meta_ted,,,,Answered
meta_qn_036,What is the effect of war?,['meta_ans_012'],['AalaElKhani_2016X.sph'],meta_ted,,,,Answered
meta_qn_037,What is the effect of war on children?,['meta_ans_012'],['AalaElKhani_2016X.sph'],meta_ted,,,,Answered
meta_qn_038,What to do after I go through a hard time?,['meta_ans_012'],['AalaElKhani_2016X.sph'],meta_ted,,,,Answered
meta_qn_039,What is lakota?,['meta_ans_013'],['AaronHuey_2010X.sph'],meta_ted,,,,Answered
meta_qn_040,What is the largest mass execution in us?,['meta_ans_013'],['AaronHuey_2010X.sph'],meta_ted,,,,Answered
meta_qn_041,What is it like being an Indian?,['meta_ans_013'],['AaronHuey_2010X.sph'],meta_ted,,,,Answered
meta_qn_042,How data makes us more human?,['meta_ans_014'],['AaronKoblin_2011.sph'],meta_ted,,,,Answered
meta_qn_043,How to tell stories from data?,['meta_ans_014'],['AaronKoblin_2011.sph'],meta_ted,,,,Answered
meta_qn_044,Why we should collect more data?,['meta_ans_014'],['AaronKoblin_2011.sph'],meta_ted,,,,Answered
meta_qn_045,How does the brain work?,['meta_ans_015'],['AaronOConnell_2011.sph'],meta_ted,,,,Answered
meta_qn_046,How do we develop intuition?,['meta_ans_015'],['AaronOConnell_2011.sph'],meta_ted,,,,Answered
meta_qn_047,How quantum mechanics explain intuition?,['meta_ans_015'],['AaronOConnell_2011.sph'],meta_ted,,,,Answered
meta_qn_048,What is subtle motion?,['meta_ans_016'],['AbeDavis_2015.sph'],meta_ted,,,,Answered
meta_qn_049,How to see vibration of an object?,['meta_ans_016'],['AbeDavis_2015.sph'],meta_ted,,,,Answered
meta_qn_050,How to detect subtle motion?,['meta_ans_016'],['AbeDavis_2015.sph'],meta_ted,,,,Answered
meta_qn_051,What hapen during hurricane sandy?,['meta_ans_017'],['AbhaDawesar_2013G.sph'],meta_ted,,,,Answered
meta_qn_052,How important our devices are?,['meta_ans_017'],['AbhaDawesar_2013G.sph'],meta_ted,,,,Answered
meta_qn_053,Why time passes so fast?,['meta_ans_017'],['AbhaDawesar_2013G.sph'],meta_ted,,,,Answered
meta_qn_054,What is altruism?,['meta_ans_018'],['AbigailMarsh_2016T.sph'],meta_ted,,,,Answered
meta_qn_055,What effects human capacity of caring about others?,['meta_ans_018'],['AbigailMarsh_2016T.sph'],meta_ted,,,,Answered
meta_qn_056,Why do some some people become psycopaths?,['meta_ans_018'],['AbigailMarsh_2016T.sph'],meta_ted,,,,Answered
meta_qn_057,How music connects people from different backgrounds?,['meta_ans_019'],['AbigailWashburn_2012U.sph'],meta_ted,,,,Answered
meta_qn_058,How to improve US-China relations?,['meta_ans_019'],['AbigailWashburn_2012U.sph'],meta_ted,,,,Answered
meta_qn_059,What you can do with banjo?,['meta_ans_019'],['AbigailWashburn_2012U.sph'],meta_ted,,,,Answered
meta_qn_060,What happen when we shortcut the physical exam for patient?,['meta_ans_020'],['AbrahamVerghese_2011G.sph'],meta_ted,,,,Answered
meta_qn_061,Why physically exam patient is important?,['meta_ans_020'],['AbrahamVerghese_2011G.sph'],meta_ted,,,,Answered
meta_qn_062,How to do a thorough physical exam for patient?,['meta_ans_020'],['AbrahamVerghese_2011G.sph'],meta_ted,,,,Answered
meta_qn_063,How aquatic weed communities impacts nigeria?,['meta_ans_021'],['AchenyoIdachaba_2015W.sph'],meta_ted,,,,Answered
meta_qn_064,How to use weed for handicrafts?,['meta_ans_021'],['AchenyoIdachaba_2015W.sph'],meta_ted,,,,Answered
meta_qn_065,How to change a culture?,['meta_ans_021'],['AchenyoIdachaba_2015W.sph'],meta_ted,,,,Answered
meta_qn_066,Do we see reality as it is?,['meta_ans_022'],['DonaldHoffman_2015.sph'],meta_ted,,,,Answered
meta_qn_067,How do our brains construct reality?,['meta_ans_022'],['DonaldHoffman_2015.sph'],meta_ted,,,,Answered
meta_qn_068,What is the secrect of human perception?,['meta_ans_022'],['DonaldHoffman_2015.sph'],meta_ted,,,,Answered
meta_qn_069,How to store power more efficiently?,['meta_ans_023'],['DonaldSadoway_2012.sph'],meta_ted,,,,Answered
meta_qn_070,What is liquid material?,['meta_ans_023'],['DonaldSadoway_2012.sph'],meta_ted,,,,Answered
meta_qn_071,What is the future of renewable energy?,['meta_ans_023'],['DonaldSadoway_2012.sph'],meta_ted,,,,Answered
meta_qn_072,What we can learn from American presidents?,['meta_ans_024'],['DorisKearnsGoodwin_2008.sph'],meta_ted,,,,Answered
meta_qn_073,What is the stories of Abraham Lincoln?,['meta_ans_024'],['DorisKearnsGoodwin_2008.sph'],meta_ted,,,,Answered
meta_qn_074,What is the stories of Lyndon Johnson?,['meta_ans_024'],['DorisKearnsGoodwin_2008.sph'],meta_ted,,,,Answered
meta_qn_075,How the molecules in our cell move and interact?,['meta_ans_025'],['DrewBerry_2011X.sph'],meta_ted,,,,Answered
meta_qn_076,How to observe molecules in our bodies?,['meta_ans_025'],['DrewBerry_2011X.sph'],meta_ted,,,,Answered
meta_qn_077,What can biology do?,['meta_ans_025'],['DrewBerry_2011X.sph'],meta_ted,,,,Answered
meta_qn_078,What can wireless devices do for people's health?,['meta_ans_026'],['EricTopol_2009P.sph'],meta_ted,,,,Answered
meta_qn_079,How to improve people's health?,['meta_ans_026'],['EricTopol_2009P.sph'],meta_ted,,,,Answered
meta_qn_080,What might be the future of individualized medicine?,['meta_ans_026'],['EricTopol_2009P.sph'],meta_ted,,,,Answered
meta_qn_081,How to make impressive photos?,['meta_ans_027'],['ErikJohansson_2011S.sph'],meta_ted,,,,Answered
meta_qn_082,How to make creative photos?,['meta_ans_027'],['ErikJohansson_2011S.sph'],meta_ted,,,,Answered
meta_qn_083,What magic can we do with our cameras?,['meta_ans_027'],['ErikJohansson_2011S.sph'],meta_ted,,,,Answered
meta_qn_084,What is the secret to work with entrepreneurs?,['meta_ans_028'],['ErnestoSirolli_2012X.sph'],meta_ted,,,,Answered
meta_qn_085,How to start a business?,['meta_ans_028'],['ErnestoSirolli_2012X.sph'],meta_ted,,,,Answered
meta_qn_086,How to make money?,['meta_ans_028'],['ErnestoSirolli_2012X.sph'],meta_ted,,,,Answered
meta_qn_087,What can we learn from leadership?,['meta_ans_029'],['FieldsWickerMiurin_2009S.sph'],meta_ted,,,,Answered
meta_qn_088,What can we discover from people?,['meta_ans_029'],['FieldsWickerMiurin_2009S.sph'],meta_ted,,,,Answered
meta_qn_089,What can we learn from new leadership?,['meta_ans_029'],['FieldsWickerMiurin_2009S.sph'],meta_ted,,,,Answered
meta_qn_090,Is there any new way to heal hearts without surgery?,['meta_ans_030'],['FranzFreudenthal_2016.sph'],meta_ted,,,,Answered
meta_qn_091,What is the improvement in curing heart diseases?,['meta_ans_030'],['FranzFreudenthal_2016.sph'],meta_ted,,,,Answered
meta_qn_092,Can we solve complex problems with simple techniques?,['meta_ans_030'],['FranzFreudenthal_2016.sph'],meta_ted,,,,Answered
meta_qn_093,What is the true cost of oil?,['meta_ans_031'],['GarthLenz_2011X.sph'],meta_ted,,,,Answered
meta_qn_094,What does our ecosystem actually look like?,['meta_ans_031'],['GarthLenz_2011X.sph'],meta_ted,,,,Answered
meta_qn_095,What damage does human cause to extract oil?,['meta_ans_031'],['GarthLenz_2011X.sph'],meta_ted,,,,Answered
meta_qn_096,What is failure?,['meta_ans_032'],['StuartFirestein_2013.sph'],meta_ted,,,,Answered
meta_qn_097,How failure can be a path into the unimaginable?,['meta_ans_032'],['StuartFirestein_2013.sph'],meta_ted,,,,Answered
meta_qn_098,How failure led to evolution?,['meta_ans_032'],['StuartFirestein_2013.sph'],meta_ted,,,,Answered
meta_qn_099,How to create safer AI?,['meta_ans_033'],['StuartRussell_2017.sph'],meta_ted,,,,Answered
meta_qn_100,How to preventing the catastrophe of robotic takeover?,['meta_ans_033'],['StuartRussell_2017.sph'],meta_ted,,,,Answered
meta_qn_101,How AI solve problems using common sense?,['meta_ans_033'],['StuartRussell_2017.sph'],meta_ted,,,,Answered
meta_qn_102,Did disability means you canâ€˜t exercise?,['meta_ans_034'],['SueAustin_2012X.sph'],meta_ted,,,,Answered
meta_qn_103,Can the disabled dive?,['meta_ans_034'],['SueAustin_2012X.sph'],meta_ted,,,,Answered
meta_qn_104,What is life with a disability like?,['meta_ans_034'],['SueAustin_2012X.sph'],meta_ted,,,,Answered
meta_qn_105,What cloud can do?,['meta_ans_035'],['SugataMitra_2013.sph'],meta_ted,,,,Answered
meta_qn_106,How to using resources and mentoring from the cloud?,['meta_ans_035'],['SugataMitra_2013.sph'],meta_ted,,,,Answered
meta_qn_107,Can cloud change traditional teaching?,['meta_ans_035'],['SugataMitra_2013.sph'],meta_ted,,,,Answered
meta_qn_108,What North Korea look like?,['meta_ans_036'],['SukiKim_2015.sph'],meta_ted,,,,Answered
meta_qn_109,Was seek the truth putting us in peril?,['meta_ans_036'],['SukiKim_2015.sph'],meta_ted,,,,Answered
meta_qn_110,What was like to go undercover in North Korea?,['meta_ans_036'],['SukiKim_2015.sph'],meta_ted,,,,Answered
meta_qn_111,How scientists test hypotheses with the unknown?,['meta_ans_037'],['TabethaBoyajian_2016.sph'],meta_ted,,,,Answered
meta_qn_112,Is there aliens?,['meta_ans_037'],['TabethaBoyajian_2016.sph'],meta_ted,,,,Answered
meta_qn_113,What is most mysterious star in the universe?,['meta_ans_037'],['TabethaBoyajian_2016.sph'],meta_ted,,,,Answered
meta_qn_114,What is Liver cancer?,['meta_ans_038'],['TalDanino_2015U.sph'],meta_ted,,,,Answered
meta_qn_115,How to cure Liver cancer?,['meta_ans_038'],['TalDanino_2015U.sph'],meta_ted,,,,Answered
meta_qn_116,How quorum sensing works?,['meta_ans_038'],['TalDanino_2015U.sph'],meta_ted,,,,Answered
meta_qn_117,How classical music developments?,['meta_ans_039'],['MichaelTilsonThomas_2012.sph'],meta_ted,,,,Answered
meta_qn_118,What is classical music?,['meta_ans_039'],['MichaelTilsonThomas_2012.sph'],meta_ted,,,,Answered
meta_qn_119,Why music can lead emotion?,['meta_ans_039'],['MichaelTilsonThomas_2012.sph'],meta_ted,,,,Answered
meta_qn_120,What is climate crisis?,['meta_ans_040'],['MikeMatas_2011.sph'],meta_ted,,,,Answered
meta_qn_121,How can we slove climate crisis?,['meta_ans_040'],['MikeMatas_2011.sph'],meta_ted,,,,Answered
meta_qn_122,How much wind potential there is?,['meta_ans_040'],['MikeMatas_2011.sph'],meta_ted,,,,Answered
meta_qn_123,How to fish farm?,['meta_ans_041'],['MikeVelings_2015Z.sph'],meta_ted,,,,Answered
meta_qn_124,Why protein matters?,['meta_ans_041'],['MikeVelings_2015Z.sph'],meta_ted,,,,Answered
meta_qn_125,How to get taller?,['meta_ans_041'],['MikeVelings_2015Z.sph'],meta_ted,,,,Answered
